,user_id,book_id,is_read,rating,is_reviewed
290,126522,423,1,4,0
814,294570,1368,0,0,0
1301,429717,1368,1,5,0
1439,68273,212328,1,5,0
1791,80262,24711,1,2,0
1856,22863,50621,0,0,0
2244,303793,50621,1,2,0
2429,282016,500797,1,3,0
2843,117008,1508,1,4,0
3193,295382,212326,1,3,0
3322,40565,67086,0,0,0
3619,431811,766932,1,5,0
3821,76067,14067,1,3,0
4429,589907,1368,0,0,0
4476,321665,1368,0,0,0
5222,597099,486085,0,0,0
5911,78691,212326,0,0,0
6360,88654,1508,0,0,0
8003,306350,22465,0,0,0
8519,407746,22208,0,0,0
8983,69955,150749,0,0,0
9016,385523,1508,1,5,1
9293,112842,47766,0,0,0
11310,440297,1508,1,5,0
11892,384245,278060,1,3,0
12642,94880,22460,1,4,0
13113,305607,14812,0,0,0
13152,131661,209222,1,2,0
14383,311008,209487,0,0,0
15531,362443,1508,1,4,0
15977,415135,22460,1,4,0
16278,273940,14067,0,0,0
16493,202688,15943,0,0,0
16885,337709,47081,1,3,0
17835,426376,423,1,5,0
19032,105859,216987,0,0,0
19391,322806,37264,1,4,0
21254,213283,11219,0,0,0
21467,196941,1508,1,5,1
21486,170328,1368,0,0,0
21923,217435,1367,0,0,0
24053,39,19052,1,4,0
24707,369597,1508,1,4,0
24939,156062,116231,1,0,0
25111,411159,249867,0,0,0
25457,390800,23055,0,0,0
25673,302812,1368,1,4,0
25720,391225,1508,0,0,0
25732,357214,18805,0,0,0
25951,283048,1368,1,5,0
26106,854545,14067,0,0,0
27603,154007,57526,0,0,0
28038,374383,14063,1,4,0
28331,451280,18805,1,5,1
28674,364497,105077,0,0,0
28759,55512,14812,0,0,0
29115,359179,123729,1,5,1
29752,252692,493574,1,4,0
29987,157469,169070,1,5,0
30424,121202,346280,0,0,0
30859,40961,1368,1,4,0
31090,321747,885911,0,0,0
31242,355742,1368,1,0,0
32132,120606,14063,1,3,0
32178,755606,14067,0,0,0
32276,66724,1368,0,0,0
32287,33813,14812,0,0,0
32332,199529,1368,0,0,0
32788,44682,14067,1,4,0
32993,439020,15719,1,4,0
33276,275368,1368,0,0,0
33697,31805,16204,0,0,0
33954,255031,16204,1,2,0
34162,80474,1368,0,0,0
34393,401995,93569,0,0,0
34521,737416,1368,0,0,0
34547,103711,39795,0,0,0
34760,349760,117709,1,5,0
35917,180851,434279,1,3,0
36371,586028,77608,1,3,0
37514,387280,1368,1,5,0
38052,649858,14067,1,1,0
38182,90946,11219,0,0,0
38185,89283,398512,0,0,0
38691,26641,58930,1,5,0
38885,337514,36475,1,4,0
38917,591859,14812,1,5,0
39017,522473,19054,0,0,0
39716,261201,21293,0,0,0
39720,119032,39795,0,0,0
40134,200816,286298,0,0,0
40469,139132,42527,0,0,0
41221,321808,14812,1,3,0
41420,193995,1508,0,0,0
41486,220824,48000,0,0,0
41685,267127,48002,0,0,0
42131,184233,14063,1,4,0
42682,199781,39307,1,4,0
42806,361686,17720,1,4,0
43984,265963,144109,0,0,0
44016,64961,51600,1,3,0
44763,361911,1368,0,0,0
44839,234708,234721,0,0,0
45924,65826,36253,0,0,0
47054,784351,1508,1,4,0
47273,32456,3075,0,0,0
47527,10385,37264,0,0,0
48030,15635,90091,0,0,0
48334,48807,105077,1,5,0
48353,87106,15719,1,5,1
48394,631838,21293,0,0,0
48511,343978,19534,0,0,0
48909,527358,1368,1,3,0
49097,238137,1368,1,5,0
49198,819443,357894,0,0,0
49527,318011,22460,0,0,0
50454,387601,53774,1,4,0
50572,375502,36258,0,0,0
51531,405614,14067,1,4,0
52240,232551,1368,0,0,0
53268,576843,1368,1,4,0
53896,287672,21293,1,3,0
53927,655272,29395,1,5,0
54528,566845,162186,1,4,0
